date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
616,금,1930,2040,제주항공,1시간 10분,할인석,105800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1930,2040,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1935,2050,진에어,1시간 15분,할인석,104800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
616,금,1935,2050,진에어,1시간 15분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
616,금,1945,2055,이스타항공,1시간 10분,할인석,104800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,1945,2055,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,2030,2140,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,2030,2140,제주항공,1시간 10분,할인석,125400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,2030,2140,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,2120,2230,아시아나항공,1시간 10분,할인석,128900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,2120,2230,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,600,700,에어서울,1시간 00분,할인석,100800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
617,토,600,700,에어서울,1시간 00분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
617,토,605,720,진에어,1시간 15분,할인석,86800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,605,720,진에어,1시간 15분,일반석,88400,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,610,720,이스타항공,1시간 10분,할인석,80800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,610,720,아시아나항공,1시간 10분,할인석,98900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,610,720,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,610,720,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,615,725,진에어,1시간 10분,할인석,88800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,615,730,제주항공,1시간 15분,할인석,91800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,615,725,대한항공진에어공동운항,1시간 10분,일반석,108900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,615,730,제주항공,1시간 15분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,615,725,진에어,1시간 10분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,615,725,진에어,1시간 10분,비즈니스석,176900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,625,735,제주항공,1시간 10분,할인석,91800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,625,735,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,640,750,아시아나항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,640,750,대한항공,1시간 10분,할인석,108900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,640,750,티웨이항공,1시간 10분,일반석,118800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
617,토,640,750,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,640,750,대한항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,640,750,아시아나항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,645,805,에어부산,1시간 20분,할인석,98640,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,645,805,에어부산,1시간 20분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,650,755,이스타항공,1시간 05분,할인석,97800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,650,755,이스타항공,1시간 05분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,655,825,하이에어,1시간 30분,할인석,78900,https://vertical.pstatic.net/vertical/static/flight/airlines/4H.png
617,토,655,825,하이에어,1시간 30분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/4H.png
617,토,700,810,제주항공,1시간 10분,할인석,105800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,700,810,티웨이항공,1시간 10분,일반석,118800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
617,토,700,810,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,700,810,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,700,810,대한항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,710,830,에어부산,1시간 20분,할인석,98640,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,710,830,에어부산,1시간 20분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,715,825,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,725,835,에어부산,1시간 10분,할인석,101820,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,725,835,아시아나항공,1시간 10분,할인석,116900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,725,835,에어부산,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,725,835,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,725,835,아시아나항공,1시간 10분,비즈니스석,171900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,730,840,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,740,850,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,740,850,제주항공,1시간 10분,할인석,125400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,745,900,에어부산,1시간 15분,할인석,107120,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,745,900,에어부산,1시간 15분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,755,905,이스타항공,1시간 10분,할인석,110800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,755,905,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,755,905,아시아나항공,1시간 10분,할인석,128900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,755,905,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,755,905,아시아나항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,820,935,아시아나항공,1시간 15분,할인석,128900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,820,935,아시아나항공,1시간 15분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,820,935,아시아나항공,1시간 15분,비즈니스석,171900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,830,940,아시아나항공,1시간 10분,할인석,128900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,830,940,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,855,1005,에어서울,1시간 10분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
617,토,855,1005,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,950,1105,이스타항공,1시간 15분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,950,1100,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
