rent_date,rent_day,return_date,return_day,car_name,oiltype,num_seat,price,reserve_avail,rent_period,img_url
603,토,605,월,카니발 KA4 하이리무진  7인승,가솔린,7,684000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565395&fileSn=0
603,토,605,월,쏠라티  2.5 15인승,디젤,15,1100000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004426&fileSn=0
604,일,606,화,모닝 어반 ,가솔린,5,123200,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045166&fileSn=0
604,일,606,화,캐스퍼 ,가솔린,4,154000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219244&fileSn=0
604,일,606,화,XM3 1.4 ,가솔린,5,165000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045174&fileSn=0
604,일,606,화,더 뉴 K3 ,가솔린,5,169000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565796&fileSn=0
604,일,606,화,올 뉴 아반떼 ,가솔린,5,169000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045167&fileSn=0
604,일,606,화,THE NEW G70 2.0 ,가솔린,5,179200,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219247&fileSn=0
604,일,606,화,G70 SHOOTING BRAKE  2.0,가솔린,5,184000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001707217&fileSn=0
604,일,606,화,아이오닉 5 4WD ,전기,5,198000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842716&fileSn=0
604,일,606,화,토레스 4WD ,가솔린,5,220000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001609323&fileSn=0
604,일,606,화,TESLA MODEL 3 ,전기,5,231000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000005298&fileSn=0
604,일,606,화,더 뉴 싼타페 4WD 7인승 ,디젤,7,242000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554978&fileSn=0
604,일,606,화,THE K9 3.8 ,가솔린,5,266000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004382&fileSn=0
